2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,
6,0,0,0,5,0,0,6,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,
7,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
8,0,0,0,0,0,5,3,4,0,0,0,2,3,4,5,2,0,0,0,0,2,3,4,5,5,5,5,5,4,5,8,
9,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
6,0,0,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,
7,0,0,6,0,0,6,0,0,0,0,0,7,0,0,2,3,4,5,4,5,4,2,3,4,5,2,3,4,5,5,7,
8,0,0,7,0,0,7,0,0,6,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,
9,0,0,8,0,0,8,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
6,0,0,9,0,0,9,9,5,4,0,0,7,2,3,2,3,4,5,2,3,4,5,0,0,0,0,6,0,4,4,6,
7,0,0,6,0,0,0,0,0,7,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,
8,0,0,7,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,
9,0,0,8,0,0,2,3,4,5,0,0,7,2,3,4,5,0,0,0,5,2,3,4,5,8,0,5,4,8,0,9,
6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
9,0,0,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,
2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5
